deposit_tx,withdraw_tx,value_diff_ratio,time_diff_sec,value_dep,value_wit
1d162aa22ac4c066ba755fa50850a2ed0489299723e0ca0801a3eb42a51cf22e,543757c2b8798ce9547966b1ea59c3222f025f6ceb65e897c97d71799ae5ee59,0.006094572676232059,165.0,8015.0,7966.152
63f600d168e20043c6467d82662ce53bf97149ac523131e974c7ef01b9d0d92b,ffae0ab66d74c17bbdb7d69467139bc1d9ab390ff6686c576a42f36e91daa120,0.007198701947079429,177.0,8012.0,7954.324
4b5eb632e31afd201c433474ea192a8d049e56cbb6a6df86056cfe1af90d86ad,d6da91cd321e6d51565188175ff10ad4ccb13fcb3ea5f99d72bbf30e947dca82,0.014839031694534573,234.0,8014.0,7895.08
2337953548c1b557d473d91e2b86caefd9a030273d5972418ecf134cd5e7101a,dd3301cd5a90931e71edc7b043131233b6015d1753fe1290b23b2428d36842b1,0.012324847123424437,117.0,8013.0,7914.241
efc49e97bd56b84c8739da984723bc59ac3c81eba753cea6e7695fab08a88a73,87fe760854fce49cefd6ed0c59bac32188dd832a6991a3658741a291809a3349,0.009254960688880551,204.0,8013.0,7938.84
6414775e184c593371e4560377d3e6d3f5e35e05389af187b7b0737314e05706,eb4cf3dc172a9fc1bd7a0eae7649ce661b5d06a760ef05f31e1efc19b46f8202,0.0037008984277513914,342.0,8014.0,7984.341
40422565b888cee98340a562ea848d2ba7e2eb0f69b21260150bbf27e2d430e8,2e3040e5830a944549eb8dc326efcb7cc8ef40a4f7b48fb12f49f1b51a2c158a,0.00889953825034318,39.0,8013.0,7941.688
86fcac631d0fa10047f37554dfedffbe10f6084add2769407e77e7dd98bd80b0,d5f2a7e97688c5e4cbe95d1e5b77e4776b2d5aeb10bb56c2521acd52ad605fb8,0.014380084851509881,210.0,8014.0,7898.758
1d4e8456bd1932aebcf87152b8d99c21543a45d413427fc880db40addb2bc6bb,bed8ecc9fd29abc60d65e8df39aba20cacd1119edfcc3c550f800950d8794758,0.009315947092588015,489.0,8014.0,7939.342
35275ca93a6cad24f1b8498f80e059ecf37428f7d3c1d21d371266f1dfc4465f,7f207be6b71d82149c57e6e144ae47c5ef5c794d0615f21d68f0e3c4e23fa4fa,0.0,276.0,351.422,351.422
8e4f64df4517370e25b531099ed4bc2623e0bda116b541a00519f85171523a83,0ce7e6a6740a701e70a9378bc590a3365f7f4687f6472bdc719f466d63a78538,0.036284545454545465,213.0,1100.0,1060.087
