deposit_tx,withdraw_tx,value_diff_ratio,time_diff_sec,value_dep,value_wit
c0195b6eb6faa25146a37dd310f6d84b70f0d41d0df9a715ea3e3ce178d6805f,f15296ad584f9a608227ec1fa901762475bae05534aa6174aa23ddcc3aa30aab,0.06637484563758383,498.0,298.0,278.220296
2c8d512954bda4a0dfb0cd92bcfd8f46cbef7b2383c2dde3e7ab2db011d679c8,f11d70620c52b8cff23566461993ed33f3b1fd7653bfe653f4a475cab96f685a,0.04198674951651378,495.0,149.524959,143.246892
bb522c051c39fcf9f053a36cf5a7a5391bcbd82d10b738a630dc6501ab71b508,f01d0fba3929bbc41225d6b3aa77e3888ae9f09ee202ead75ec3d62ddc2f7584,0.03901533491553876,147.0,700.0,728.419532
f95c4500d1ac9095639bdbab82ccaac58babe1a6c057a7ecdf64a1bce777c7ba,a31336cd81b1e0a136b78d15b469e371a1155d22989f01f2b630a1d082c9b399,0.08036309999999995,153.0,150.0,137.945535
1ad3a1dbb28bd24331eb637a5ffa0db6c2b81251e6e2408304445880826b3c9e,07b8cdcb4205a71cf762ac740bf723b3eb0b111b433acf12793a50cba6601145,0.14136076379319018,525.0,159.0,185.176723
2611bfda9043faaa20a41b017b6324a2e3ad408ff5a11bfdf8179b85975191d3,730289d2f41b3fdad79c53d33a611645a16ca223784cc770a3f388dc2e533c30,0.1307899121812399,585.0,67.0,77.08148
dba7644a7545441427927f6565b15747eca20ea31fbd8d3679ce15f9a33bb656,565b7ad92a1beae8d47ba7735b098c12323223250e859c1d5c10f7ea01d80729,0.0063909346233604605,18.0,290.0,291.865292
25dcf2b636066d149311ab1f39d911c7891fcea66f74a97ae80db12bb3bce579,122d5142328fc80f46557f5cffd5658f74b0d31e47560b600663b8c6f317cb05,0.040244690000186586,387.0,100.0,104.193224
9765fa5347be36e5c45164ad1ab5932e53ad73dd29786aabfd5e940e54e500c7,5d90825d018aa89ecbad12a7077ceab84ed869f732607d6ea50da1b9ea7fd259,0.11752959940216151,315.0,116.86,132.423705
913cfdbaddfd8a8601c79f439c2ab189b3d825be39268e93c2ce5a7cd343cbea,a79bd8fb73558066ab601ad74ae519d67d47d7775f7aa8b8cad04879e7c06e2e,0.08763437774646149,354.0,44.416785,48.683098
7716b087cab92fca775c2014bb54a4b6c17d7617c76b5e74e711bc576ef2beb8,2cd528b17d12b2ca88c99b0f8e26c227d233e80d4a4289625f65eef04f2a5b81,0.0546420329893015,597.0,136.035393,143.898288
ec15abfa9eb85eab6ffafec5d109ae2c32818212baf206e4d58a30a42a1933f8,17638f365d825d09bcce8c09681c3f01c9e44f31c1bd79627d40e1a69d041dd3,0.13970377127455577,81.0,100.0,116.239031
7e47aea7aa1b2d35fd2772bcc01554e4a9a0a9affc840e9963f262d9307535f3,551364da11b76f47dca7320ee73beeb2d0c4726a35605fc0d41d4b26ac88457a,0.12723373267898389,33.0,69.28,60.465247
744e3c12a9a52f4891d2fcdc74a9cb1e373ad7b847f2a97936a8a4ac4cb25cd1,24cdd8fdd7c9ee05e7ecc5d7f10ef60ff08c417de50cbb76c20d4bec06308107,0.02504558199999997,585.0,1000.0,974.954418
9e78875098d55b2a302ed61c56e4372cd4b32a461b1bbb8d801de2d8aab32819,f73c74cf2dd79e92a204abe265643c52d8262afd74b7db290f655f383eb14086,0.1285207903571492,444.0,234.634285,269.236813
a0d07e2fff0e6644f5e5c3c0ae070e4e1fe4bb9dda3be1c1b19998cf50445404,51643ea48e05156df5d60a2adfa7ff6a592d5c7f029ddfe51eace5401762e188,0.03784992797464715,39.0,69.42,66.792458
1e5f63800789bbab3528b260e1951a754b0f1ea1dbc2da7140eea61d0a56399c,7cd323bf20f98bee738ca06c0382c3936fdc0f7135c15f169fc7af158007912e,0.03697511770391947,90.0,219.602925,211.483081
f42c35f1790edb1454bce6217a8097e3d1e19fc7e0ce205dec029b2de69a18dc,929a9f741d0c77a463fdd210b9dab1a4f481306418931e88afa6241fd6dd1f1a,0.09627582950996497,276.0,60.0,66.391939
42a37a528bc69d4d9f6bf270e2db6a94c57698707413b22aa3bb170887b6c1db,181b09114ef47b9d9cd570a621794f88ee482b0961a141fa2948b815adc9d465,0.06058277786649454,555.0,69.24,73.70527
ce11795f79cf8cc99653ee1369bf39623ace642a46da111ae4078b30f997dc16,07ea8f71704bb88c9a6b4567cc414eb0eeac2e33fe7974d8b32b460cda3670fe,0.01048519572058594,78.0,50.0,50.529815
6b9a2faa26ca335665ae77564358f2aa52dfe2c8fcb26906a7dd43a62a022494,0beaa910816e987a82bd29dfb914854cacd6cc8b3cf396ef4ce12aff63b545cb,0.005122846231786473,147.0,4884.158116,4859.137325
02475de7400f3f7441348880d79be0a4207895978b6d812b4a2a25ff5a8fa092,ffc24d833937e6901c906e172609a22f36c0ae5bae99b638b658c1ca5fc53d10,0.051557623135500594,321.0,138.0,145.501723
dadda3b0413a252aeef4d3bdbf642088e9b81d6e2d0a13b30c827ab946904f18,a74fc02a06acb98e277c4e00d0dd17d5e115ffbcc7089f2dd7fadda640858487,0.017702000114323782,264.0,750.0,763.515756
35117c00dbac3687751c2065af298d96caa84c4ecdb0843eea89831f76b2bdfe,21fec36b7bd9c71ce463387dc9059798332fe43bbe3df37513137b3990c855d1,0.044284447333333296,237.0,1500.0,1433.573329
